model,configuration,training_strategy,threshold_strategy,threshold,val_accuracy,val_balanced_accuracy,val_real_precision,val_real_recall,val_fake_precision,val_fake_recall,val_macro_f1,val_weighted_f1,val_roc_auc,val_pr_auc,diagnostic
LR C=0.01,"{'C': 0.01, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",full_class_weight,default_0.5,0.5,0.5,0.5,0.1667,0.5,0.8333,0.5,0.4375,0.5625,0.493,0.8336,WARNING: Balanced Acc=0.500 <= 0.55
LR C=0.01,"{'C': 0.01, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",full_class_weight,youden,0.5425,0.3542,0.5375,0.1806,0.8125,0.875,0.2625,0.3497,0.3858,0.493,0.8336,WARNING: FAKE recall=0.263 < 0.50; Balanced Acc=0.537 <= 0.55
LR C=0.01,"{'C': 0.01, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",full_class_weight,ba_opt,0.3,0.8229,0.5188,0.3333,0.0625,0.8387,0.975,0.5035,0.769,0.493,0.8336,WARNING: REAL recall=0.062 < 0.50; Balanced Acc=0.519 <= 0.55
LR C=0.01,"{'C': 0.01, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",undersample,default_0.5,0.5,0.4167,0.5,0.1667,0.625,0.8333,0.375,0.3902,0.4749,0.493,0.8436,WARNING: FAKE recall=0.375 < 0.50; Balanced Acc=0.500 <= 0.55
LR C=0.01,"{'C': 0.01, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",undersample,youden,0.6925,0.2188,0.5312,0.1758,1.0,1.0,0.0625,0.2084,0.1479,0.493,0.8436,WARNING: FAKE recall=0.062 < 0.50; Balanced Acc=0.531 <= 0.55
LR C=0.01,"{'C': 0.01, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",undersample,ba_opt,0.65,0.25,0.525,0.1744,0.9375,0.9,0.1125,0.2471,0.2157,0.493,0.8436,WARNING: FAKE recall=0.113 < 0.50; Balanced Acc=0.525 <= 0.55
LR C=0.1,"{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",full_class_weight,default_0.5,0.5,0.4896,0.4938,0.1633,0.5,0.8298,0.4875,0.4302,0.5528,0.4969,0.8289,WARNING: FAKE recall=0.487 < 0.50; Balanced Acc=0.494 <= 0.55
LR C=0.1,"{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",full_class_weight,youden,0.4088,0.5521,0.5312,0.186,0.5,0.8491,0.5625,0.4739,0.6091,0.4969,0.8289,WARNING: Balanced Acc=0.531 <= 0.55
LR C=0.1,"{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",full_class_weight,ba_opt,0.3,0.7188,0.5312,0.2105,0.25,0.8442,0.8125,0.5283,0.7281,0.4969,0.8289,WARNING: REAL recall=0.250 < 0.50; Balanced Acc=0.531 <= 0.55
LR C=0.1,"{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",undersample,default_0.5,0.5,0.4479,0.4938,0.1636,0.5625,0.8293,0.425,0.4078,0.5106,0.4969,0.8466,WARNING: FAKE recall=0.425 < 0.50; Balanced Acc=0.494 <= 0.55
LR C=0.1,"{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",undersample,youden,0.6039,0.3958,0.5375,0.1818,0.75,0.8667,0.325,0.3827,0.4427,0.4969,0.8466,WARNING: FAKE recall=0.325 < 0.50; Balanced Acc=0.537 <= 0.55
LR C=0.1,"{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",undersample,ba_opt,0.15,0.7396,0.5188,0.2,0.1875,0.8395,0.85,0.5191,0.7362,0.4969,0.8466,WARNING: REAL recall=0.188 < 0.50; Balanced Acc=0.519 <= 0.55
LR C=1.0,"{'C': 1.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",full_class_weight,default_0.5,0.5,0.5312,0.5188,0.1778,0.5,0.8431,0.5375,0.4594,0.5908,0.4937,0.8325,WARNING: Balanced Acc=0.519 <= 0.55
LR C=1.0,"{'C': 1.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",full_class_weight,youden,0.7243,0.3229,0.5437,0.1818,0.875,0.8947,0.2125,0.3223,0.3364,0.4937,0.8325,WARNING: FAKE recall=0.212 < 0.50; Balanced Acc=0.544 <= 0.55
LR C=1.0,"{'C': 1.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 3000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",full_class_weight,ba_opt,0.6,0.4583,0.525,0.1786,0.625,0.85,0.425,0.4222,0.5185,0.4937,0.8325,WARNING: FAKE recall=0.425 < 0.50; Balanced Acc=0.525 <= 0.55
